headline,label
"코스피, 17.77포인트 오른 2362.22 개장",0
"[뉴욕증시]연준, 평균물가목표제 도입…금융·부동산주 강세",1
"[스팟]코스닥, 5.36p(0.64%) 오른 841.76 마감",0
"[스팟]코스피, 17.77p(0.76%) 오른 2362.22 출발",0
"[외환] 원/달러 환율 1.3원 오른 1,186.3원(개장)",0
[출발]코스닥 상승..841.76(+0.64%),0
[출발]코스피 개인 98억 순매수,0
[출발]코스피 기관 55억 순매도,0
[출발]코스피 상승..2362.22(+0.76%),0
[출발]코스피 외국인 33억 순매도,0
[출발]프로그램 110억 매도우위,1
[출발]환율 상승..1186.3(+1.3원),0
[코스닥] 5.36p(0.64%) 오른 841.76(개장),0
"[코스피] 17.77p(0.76%) 오른 2,362.22(개장)",0
[표]해외 DR 가격(8월 27일),0
"LG화학, 하반기 석유화학 부문 성장 예상…목표가 16%↑-이베스트",1
Microsoft 폴더블폰 경쟁 뛰어들어···..내달 폴더블폰 ‘서피스 듀오’ 출시,1
"코스피, 17.77p 오른 2362.33 출발(0.76%↑)",1
"한국투자 ""네이버, 비대면 수혜 대표기업…목표가↑""",1
"한화證 ""미스터블루, 만화·게임 부문 해외서 성장 전망""",1
日증시 상승 출발..닛케이 23232.30(+0.10%),0
[출발]국채선물 하락..112.02 -5틱,-1
[출발]지수선물 상승..313.25(+2.45p),0
[표]해외 주요 증시 동향(8월 27일),0
"넷마블, 정상궤도 오른 실적…현재 주가는 부담-현대차證",0
"""공매도 금지 연장, 증시 큰 영향 없어"" -IBK증권",0
"""LG화학, 글로벌 배터리 1위 점유율 고려…목표가↑""-유진투자증권",1
[오늘장 미리보기] 비중 축소보다 확대…언택트 관심 유효,0
[외환브리핑]달러 반등 속 코로나19 확산세 주시,0
"""연준 ATI 영향…저금리 기댄 산업 약세 가능성""",-1
"""연준 평균물가목표제 도입, 채권보다 주식에 긍정적""",1
"""하이트진로, 하반기도 양호한 실적흐름 예상""?IBK투자",1
[객장의시선]오늘 장 '상승' 전망…섹터별 순환매 지속 예상,0
"[클릭 e종목]""미스터블루, 해외 매출 성장 기대…기업가치 제고""",1
"IBK투자증권 ""하이트진로, 하반기 실적도 양호...목표주가 유지""",1
"SKT, 5000억 규모 자사주 매입",0
"유진證 ""공항 면세점 임대료 문제 해결…실적 개선 예상""",-1
"파트론, 카메라도 신사업도 좋다…목표가↑ -신한",1
"현대차證 ""넷마블, 정상에 올라온 실적…목표가↑""",1
"아베 총리, 오늘 오후 기자회견…""사임 시 엔화 강세 예상""",1
"신한금투, 라임펀드 판매액 반환키로…""분조위 판단한 사실관계는 인정 못해""",0
"미래에셋대우 ""엔씨소프트, 최근 하락했지만 46% 상승여력""",-1
"금화피에스시, 하반기 성장세 지속 전망 '매수'- 하나",1
"[빅데이터MSI]시장심리 톱5, 네이버·카카오·현대차·KB금융·현대제철",0
"네오위즈, 웹보드 호실적·신작 기대…저가매수 기회-신한",1
"현대홈쇼핑, 3분기 실적 턴어라운드 예상-유안타證",0
"[STOCK] 한국항공우주, 코로나 영향 민항기 수요 감소… 목표주가↓",-1
[국제유가]나흘만에 하락...WTI 0.8%↓,-1
[마켓브리핑] 코로나19·최저임금 상승 부담↑···코리아세븐 1000억원 장기CP 발행,-1
"RFHIC, 4분기 미국·인도 매출증가 가능성 ‘매수’-하나",1
"미래에셋대우, 라임펀드 판매금액 91억원 모두 투자자에 반환키로",1
“넷마블 실적 정상 궤도 올라왔다...목표가↑”,1
"미스터블루, 하반기 자체 웹툰+해외 게임 매출…주가 우상향 기대",1
"바이오리더스, 450억원 규모 유상증자 결정…“신약개발 임상비용 확보”",0
"""올해 경제성장률 -1.3%보다 더 내려갈 것""",1
"[Hot-Line] ""에스티팜, 예상 뛰어 넘는 규모의 올리고핵산 증설""…목표가↑",1
"천보, 3년간 실적 성장은 확실…목표가 43%↑-신한",1
"희림, 그린 리모델링·스마트 의료 인프라 수혜주-SK",1
"[시그널] SKT, 5,000억원 규모 자사주 매입···""주주가치 제고""",0
[뉴욕증시]연준 평균물가목표 채택에도 혼조세 마감,0
"하이트진로, 코로나19에도 '테라·진로이즈백' 판매 급증-IBK투자증권",1
"이베스트證 ""LG화학, PVC·ABS 수요에 실적호조 전망…목표가↑""",1
"[시그널] SKT, 5000억원 규모 자사주 매입···""주주가치 제고""",0
"美연준, 정책전환 '천명'…물가 올라도 당분간 제로금리",0
"""LG화학, 하반기 실적 개선 기대.. 목표가↑"" -이베스트투자증권",1
"넷마블, 2분기 호실적에도 현 주가는 부담…투자의견↓-현대차증권",0
“하이트진로 올 하반기도 호실적 계속된다”,0
"삼성생명, 손해율 정상화·금융시장 회복…목표가↑-현대차",1
"'제2 따상' 예고 카카오게임즈, 공모주 돌풍 다시 일으킨다",1
"넷마블, 2Q 호실적..카카오게임즈 등 투자가치 부각-현대차증권",1
"한국항공우주, 실적·수주 전망 악화에 목표가↓-현대차",1
"""5년간 제로금리 유지될 수도""…'슈퍼 비둘기'가 된 美연준",0
"""LG, 2분기 실적 기대치 부합…목표가 ↑""-KB증권",1
"[Hot-Line] ""영풍정밀, 순현금·보유지분 합하면 현 시총의 1.7배…절대 저평가""",0
"KB증권 ""SK하이닉스, 실적 우려보다 내년 실적에 초점 맞춰야""",-1
"SK텔레콤, 5000억 규모 자사주 취득 신탁계약 체결",1
"코람코에너지플러스리츠, 31일 상장",0
"""5년간 금리인상 걱정마""…'슈퍼 비둘기'가 된 美연준",0
"[STOCK] LG화학, 석유화학 중심 호실적 기대… 목표가 ↑",1
"[시그널] 넥스틴 상장으로 241억 조달···예상 기업가치 2,433억 제시",0
“네이버 언택트 사회 최대 수혜 기업...목표가↑”,1
"[굿모닝 증시] 경제지표 민감도 낮아진 증시…""유동성 장세 계속된다""",0
"유진투자證 ""LG화학, 공격적인 전기차 시장전망…목표가↑""",1
"""주주 가치 제고 위해""···SKT 5,000억 원 규모의 자사주 매입",0
"공매도 금지 연장..""동학개미 찜할 종목은?""",0
"바이오리더스, 유증으로 '신약개발 자금' 450억원 조달",0
"코람코에너지플러스리츠, 6%대 배당수익+땅값 상승 매력적",0
"현대홈쇼핑, 홈쇼핑 턴어라운드 3Q 호실적 기대-유안타",1
"LG화학, 하반기에도 외형·실적 확대 기대…목표가 97.5만원-이베스트",1
"[27일 주요 크레딧 공시]홈플러스, 단기등급 ‘A2-’로 하향 外",0
"금화피에스시, 2Q 최대실적…성장세 지속 전망-하나",1
"[뉴스새벽배송]연준, '장기 초저금리' 시사에도 나스닥 하락",-1
[빅데이터MSI]27일 오전 주식시장 심리 2단계 '나쁨',0
"[STOCK] 엔씨소프트, 코로나19 재확산에 다시 '주목'…3Q 매출 5500억대",1
"SK텔레콤 자사주 5,000억원 취득 결정",0
"네이버, 비대면 사회구조서 가장 큰 수혜주…목표가 22%↑-한국투자",1
"""코로나 재확산…코스피 거래대금↓ 코스닥↑""",0
"""8월 금통위, 경기부진에도 금리인하 기대는 낮아졌다""",1
"영풍정밀, 주가 절대저평가 상태 -유진투자증권",1
"하이트진로, 테라·진로 판매량 고공행진-IBK",0
[국제유가] 약해진 허리케인 로라 위력에 하락… WTI 0.8%↓,-1
"""하반기 플러스 전환 가능…내수 상반기보다 개선""-키움",0
"현대홈쇼핑, 코로나 재확산세에 합리적 투자 대안-유안타",1
"네이버, 언택트 사회구조 변화에 수혜-한투",1
美 연준 완화 기조 확인..코로나 확산에 언택트 성장주 유효,1
"""네이버, 언택트 수혜 대표기업…목표가↑""-한국투자증권",1
"코람코에너지플러스리츠, 토지가치 상승 기대-유진",1
[표]미국 주요기업 주가(8/27),0
[표]미래에셋대우 등 코스피 자사주 신청내역(28일),0
[표]코스닥 외국인 연속 순매수 종목(27일),0
[표]코스피 외국인 연속 순매도 종목(27일),0
[표]코스피 외국인 연속 순매수 종목(27일),0
[표]해마로푸드서비스 등 코스닥 자사주 신청내역(28일),0
[표]해외 한국 DR(8/27),0
[표]코스닥 외국인 연속 순매도 종목(27일),0
"[클릭 e종목]“천보, 증설·배터리 수요 확대로 실적 성장 가능성↑”",1
"RFHIC, 4분기 미국·인도 매출 증가 가능성…목표가↑ -하나",1
"뉴욕증시, 연준 평균물가목표 채택에도 혼조…다우 0.57%↑",1
"에스티팜, 생산설비 증설 기대-삼성증권",1
"SK하이닉스, 3분기 실적 부진 전망…목표가↓-KB",-1
"네이버, 언택트 수혜에 일본 사업도 본격화-한국투자",1
"상장 앞둔 코람코에너지플러스리츠, 6%대 배당수익 기대-유진",1
"에스티팜, 향후 신규 수주 및 추가 증설 기대 유효…목표가↑-삼성증권",1
[일일펀드동향] 韓채권형펀드 다시 순유출로…191억 빠져나가,0
"[오늘의 환율전망] 원/달러 환율, 1185~1187원 출발 전망",0
"[클릭 e종목] ""금화피에스시, 정비 물량 증가로 성장 지속 전망""",1
국내 주식형 펀드 사흘 연속 자금 유출,0
[뉴욕증시] S&P500 또 '최고가'… 장중 3500도 돌파,1
"[클릭 e종목]""네이버, 내년이 더 기대…목표주가 상향""",1
"천보, 3분기 실적 개선 기대-신한금융투자",1
"[클릭 e종목]""현대홈쇼핑, 콘택트 수난 시대의 합리적 대안""",0
[뉴욕증시]장기시장금리 확 뛰었다…기술주 주춤하자 증시 털썩,0
"[발칙한금융]라임 판매사, 금감원 전방위 압박에 '백기투항'..정작 라임은?",0
"[STOCK] 네이버, 국내 전자상거래 시장 영향력 확대에 목표주가↑",1
[e공시 눈에 띄네] 코스닥-27일,0
"[STOCK] '언택트 대장주' 카카오, 40만원 첫 돌파… 연일 신고가",1
[원유마감]WTI 나흘 만에 하락…허리케인 로라 위력 약화,-1
"""최소 5년간 제로금리""…S&P 사상 첫 3500 터치 [뉴욕마감]",0
"공매도 금지 6개월 연장…증권가 ""기대감 선반영""",1
"[기업공시 8월 27일]바이오리더스, 450억 규모 주주배정 유상증자 결정 등",0
[김민석의 할많하당] 위험수위 넘은 역대급 '빚투'의 다른 얼굴,-1
[재송]27일 장마감 후 주요 종목 뉴스,0
[e공시 눈에 띄네]코스피-27일,0
"美증시, 연준 평균물가목표제 도입 속 혼조마감…다우 0.57%↑",1
"'코로나의 역설'…마트서 시식행사 못하는 식품업계 ""수익성 좋아졌네""",0
"P2P 업체, 70여곳만 감사보고서 제출",0
"뉴욕증시, 연준 평균물가목표 채택에도 혼조세…다우 0.57%↑",1
"뉴욕증시, Fed 평균물가목표 채택 불구 기술주 하락에 혼조",-1
[뉴욕마감]S&P 5일째 사상 최고…거대한 연준 '비둘기',1
공매도 금지 6개월 연장…코스닥 제약·바이오株에 기름 부을까,0
코로나 재확산에 식품株 또 반등할까…실적 전망치도 '고고',0
[코스피·코스닥 전 거래일(27일) 주요공시],0
미국도 부동산 열기… 3개월 새 '주택건설 ETF' 최고 2배 급등,1
"카카오게임즈, IPO 대박 행진 이어갈까",1
"코스피, 고개드는 9월 조정론",0
론스타 17년 ISD 준비서면에 드러난 진실은,0
"뉴욕증시, 연준 평균물가목표 채택에도 기술주 약세…다우, 0.57% 상승 마감",-1
동학개미 활짝 핀 '공모주의 꿈'···IPO청약 개선 어떻게,0
"연준, 평준물가목표제 도입에 다우 160포인트↑ [데일리 국제금융시장]",1
뉴욕 증시 지수별 혼조…다우-S&P 오르고 나스닥 내리고,0
[스팟] 뉴욕증시 혼조 마감...다우↑·나스닥↓,0
해외투자 하면 KB증권..사회책임투자도 잘해요,1
"동학개미 재미 못봤던 삼성전자, 반등 신호 켜진다",0
"호실적에 경영승계까지…한화그룹株 상승 ""돋보이네""",0
더 빡빡해진 '3%룰'…이사 선임도 맘대로 못해?,0
"성장전망 더 낮춘 한은, ""겨울까지 코로나 확산되면 올 성장률 -2.2%""",1
"코로나 다시 퍼지자 네이버 10%, 카카오 13% 껑충 올랐다",0
머니투데이 오프라인 헤드라인-28일자,0
"'공매도 금지 연장' 말고도 많네, 동학개미 위한 '종합선물세트'",0
[유럽증시] 잭슨홀 회의 주시하며 하락,-1
'옵티머스' 투자자에 원금 40~70% 先지원,1
[오늘의 증시] 2020년 8월 27일자,0
K뱅크 비대면 아담대 사전예약 2만6000명 몰려,0
동학 뺨치는 서학개미… 올 1000억달러 사고팔았다,0
[주요경제지표] 2020년 8월 27일자,0
"공매도 금지 연장… 금융위원장 ""증권사 신용융자 금리도 내려야""",0
"NH증권, 옵티머스펀드 가입자에 투자액 70%까지 대출형태 先지원",1
"공매도 금지, 내년 3월15일까지 6개월 연장",0
중기·소상공인 대출 만기 내년 3월까지 추가 연장,-1
[주목!e기업]센코 “센서 토탈 솔루션 기업 발돋움…글로벌 경쟁할 것”,1
테슬라 날게 한 액면분할…'주가 3억' 버핏은 왜 안할까,0
"유럽증시, 잭슨홀미팅 지켜보며 일제히 하락 마감",-1
"""2차전지만이 아니다…화학업종도 맑음""",0
美 사재기에 대형마트 날개…한국도 따라갈까,0
"""신뢰회복 위해 수용""…신금투, 라임펀드 100% 배상",0
"공매도 금지, 내년 3월 15일까지 6개월 연장 확정",0
[유가증권 메모] (28일) 보통주추가상장=대덕(공모증자),0
오늘의 레이더M 뉴스 (8월 28일),0
3단계는 시행도 안했는데 벌써부터 경제 '빨간불',-1
"공매도 금지 6개월 연장, 불법공매도 처벌 수위 높인다",0
"뉴욕증시, 연준 평균물가목표제 채택 반색 상승 출발",1
"미래엔 컨소시엄, 영실업 인수한다",0
"[속보] 파월 연준 의장 ""평균물가목표제 도입""…제로금리 장기간 유지",0
[스팟] 뉴욕증시 혼조 출발...다우↑·나스닥↓,0
"라임 판매사, 금감원 권고 수용..분쟁조정 최초 전액배상 나왔다",0
"신한금투, 라임 무역펀드 100% 배상 결정",0
[ 코스닥 기업공시] (27일) 대한그린파워 등,0
[유가증권 기업공시] (27일) KB금융 등,0
"[종합뉴스 단신] 방통위, '국민참여 팩트체크' 활성화",0
"온라인개학에 방과후 홈스쿨링 인기, “초등인강 관심 높아져”",1
"신한금융투자 ""라임펀드 분조위 결정 수용…100% 배상""",1
해외 명품 한국서 더 비싸게 판 이유는?,0
"라임 무역금융펀드 판매사 4곳, 100% 배상 수용(종합)",0
"정부, '고사위기' 항공업 추가지원책... ""공항 사용료 5000억원 감면""",0
"라임펀드 판매사, '전액 배상' 수용… 사상 첫 100% 반환",0
개인 소외에···'하늘의 별따기' IPO 손질,0
"""전례 없는 전액 반환 권고""..미래에셋·신한금투, 결국 '수락'",0
"""전례 없는 전액 반환 권고""..미래에셋·신한금투, 결국 수락",0
"신한금융투자, 라임 무역금융펀드 100% 배상…일부 내용은 '불수용'",1
"""전기·수도료도 못 내요""…벼랑끝 소상공인 생계 막막",0
신한금투도 끝내 백기…금감원 원금 전액 반환 권고 수용,0
"신한금투, 라임 펀드 100% 반환키로…""잘못은 인정 못해""",0
"한은 ""올해 성장률 -1.3%""로 낮춰…최악땐 -2.2%""",-1
"신한금융투자, 라임 무역금융펀드 전액 반환 결정 수락",1
"라임 판매사, 금감원 권고 수용..분쟁조정 최초 전액배상",0
"""비말 차단 효과 없다?""…망사마스크 믿고 산 소비자들 '불안'",-1
'하늘의 별' IPO···개미에 우선 배정 추진,1
"미래에셋대우, 라임 무역금융펀드 '전액 배상' 수용 결정",0
"[속보] 신한금투, 라임 무역펀드 100% 배상안 수용",0
"미래에셋대우, 라임 무역금융펀드 '전액배상' 결정",0
"`코로나19 우려` 코스피, 5일만에 하락…카카오·삼성SDI ↑",-1
"카카오게임즈, 수요예측 1000 대 1 넘었다",0
27일 장마감 후 주요 종목 뉴스,0
"미래에셋대우, 라임 펀드 전액 반환…분조위 권고안 수용",0
"미래에셋대우, 라임운용 펀드 전액 반환…분조위 권고안 수용",0
"미래에셋대우, 라임펀드 투자자에 91억원 전액 반환",1
[표]아시아 주요 증시 동향(8월 27일),0
"우리ㆍ하나은행, 라임 펀드 '전액 배상' 수용… 사상 첫 100% 반환",0
'대출 만기ㆍ이자 상환 유예' 6개월 더 연장… 부실 우려도 고조,-1
"우리·하나·미래에셋대우, 라임 무역금융펀드 전액반환 결정",0
"미래에셋대우, 라임 무역금융펀드 100% 배상",0
"미래에셋대우, 라임 무역금융펀드 전액 반환 결정",0
"미래에셋대우, 라임 펀드 100% 반환 결정",0
장 마감 후 기업공시[8월27일],0
"[속보] 미래에셋대우, 라임 무역펀드 100% 배상안 수용",0
[표]유형별 펀드 자금 동향(8월 26일),0
딸람이 알려주는 오늘의 특징주 이슈...엑세스바이오·대정화금·바이넥스·일신바이오 등,0
옵티머스펀드 투자자에 70% 유동성 지원,1
"[시그널] SK건설, TSK코퍼레이션 보유 지분 KKR에 매각한다",0
"[시그널] 미래엔 컨소시엄, ‘또봇’ 영실업 1,500억에 인수",0
"""공매도 금지 연장, 펀더멘털 무관...시장 영향 크지 않을 것""",0
[Asia마감]그의 '한 마디'를 기다린다,0
개미들 목소리 반영됐나… 공매도 금지 다시 6개월 연장,0
"코람코에너지플러스리츠, 31일 코스피 신규 상장",0
[표]유가증권·코스닥 투자주체별 매매동향(8월 27일-최종치),1
[표]코스닥 기관·외국인·개인 순매수·도 상위종목(8월 27일-최종치),0
[표]유가증권 기관·외국인·개인 순매수·도 상위종목(8월 27일-최종치),0
"SK하이닉스가 투자한 키옥시아, 10월 도쿄증권거래소 상장",1
"거래소, 이에스이 불성실 공시법인 지정",0
"[시그널] 카카오게임즈, 1,000대1 돌파···SK바이오팜도 넘었다",1
"신성이엔지, 79억 규모 자기주식 처분 결정",0
"""미래가치 높은 주식에 투자해야…부동산 '패닉바잉'은 금물""",1
"에스엠하이플러스, 대한해운 자사주 7916주 장내 매수",0
'400명대 헉!'…코로나19 확진자 급증에 주가 희비,0
"파나시아, 코스닥 상장 초읽기...증권신고서 제출",0
"거래소, 팍스넷 불성실 공시법인 지정",0
"스튜디오미르 ""‘코라의 전설’, 美넷플릭스 TV쇼부문 1위""",1
"[올댓차이나] 홍콩 증시, 미중 긴장고조에 하락 마감...H주 0.96%↓",-1
"[마켓인]한신평, 홈플러스 단기등급 `A2-`로 한 단계 하향",0
"SK바이오팜, 상반기 당기순손실 1262억..매출액 60억",0
日증시 하락 마감..닛케이 23208.86(-0.35%),-1
"코로나 재확산에 공매도 금지 6개월 연장…""전 상장종목""(종합2보)",0
"NH증권 '옵티머스' 투자자, 원금 최대 70% 돌려받는다",1
개미투자자 목소리 반영됐나… 공매도 금지 다시 6개월 연장,1
"대한항공, 대출채권 유동화해 300억 조달",0
신한BNPP시니어론 4호펀드 6900억 약정,0
"금투협, 해외채권 투자분석·석유산업 전망 특강 실시",1
[표]일본 주요기업 주가(8/27),0
TSMC 내달리는데..삼성 '사법리스크 발목' 언제까지,0
"[마켓인]로봇 '휴보' 개발사 레인보우로보틱스, 코스닥 상장 재도전",0
`아직도 手記` 주먹구구 공매도 손본다…종목지정제도 도입추진,1
"공매도 금지연장, 증시 시큰둥…""호재 맞지만 기대감 이미 반영""",1
"카카오게임즈 수요예측 성황…""공모가 최상단 갈듯""",0
"은성수 ""개인투자자에 기회 확대…신용융자 금리 개선""(종합)",1
전세계 투자자 파월 주목…증시 방향 가른다,1
"[마켓인사이트]한화, 골든베이CC 매물로 내놨다.. 첫 골프장 매각 추진",1
"공매도 금지 내년 3월까지 연장…""기울어진 운동장 없앤다""",0
공모주 청약방식 손질한다,0
"금융당국, 증권업계와 신용융자 금리산정 개선TF 구성",0
"레드로버, 윤종혁 대표이사 체제로",0
"5월 준공 ‘이천 도지 물류센터’ 판다.. 이지스, 조기매각 통해 수익 극대화",0
"삼부르네상스 사기분양 피해 논란에… 삼부토건 ""심각한 명예훼손 고발조치""",-1
"효성캐피탈 오늘 본입찰… 대신증권 출사표, 인수전 뜨겁다",0
"1999년 대우채권·2011년 부산저축銀…당시엔 ""투자자도 책임""",1
NH證 옵티머스 피해자 지원…3억 미만 개인투자자는 70%,0
"금융당국, 증권업계와 신용융자 금리산정 개선TF",0
"투자자 책임 일체 없다니…""우리도 100%"" 보상 요구 줄이을듯",1
유동성·동학개미에 '가벼워진 대형주',0
[코스닥 공시] 에스티아이,0
`언택트 3인방` 질주…시총순위 지각변동,0
"`초분산 펀드` EMP, 주식형보다 잘나가는 까닭",0
"D램 가격 바닥론 솔솔…""3분기 삼전 영업익 10조""",-1
"라온피플, AI 학습용 데이터 구축·AI 융합 프로젝트 사업 수행기관 선정",0
신한BNPP시니어론 4호펀드 모집액 6900억원 다 채웠다,0
오늘의 증시 일정 (8월 28일),0
유니테스트 美中서 잇단 쾌거…한전과 태양전지 개발도 착수,0
"파나시아, 증권신고서 제출…10월 코스닥 상장 목표",0
[유가증권시장 공시] KB국민은행 / 금호에이치티 / 만호제강 등,0
데이터센터·자율車…엔비디아 `만능 GPU` 반도체시장 평정,0
공매도 금지 또 유예…효과는,0
[표]K-OTC 시장 거래 현황(8/27),0
"신용거래융자, 6거래일 만에 증가…15조7056억원",1
"[MK라씨로] 제노포커스, 진단키트 효소 개발에 급등",1
[표] 주요 증시 지표 (8월 27일),0
"은성수 ""신용융자 금리산정 개선…공모주 청약제도도 손질""",0
한화 소유 골든베이GC 매물로 나왔다,0
"필웨이, 빈티지 시계 컬렉션 및 무료 사진감정 서비스 오픈",1
"[시그널] 더퍼블릭투자자문, 자산운용사로 출범···한국형 헤지펀드 업무 시작",1
동학개미가 또 이겼다… 상장종목 공매도 금지 6개월 연장,0
금융당국 전방위 압박에 부담...라임 판매사 '전액배상' 유력,0
"파나시아, 증권신고서 제출…10월 코스닥 상장",0
"'위상 달라진 동학개미' 공매도 금지 연장에 ""환영, 제도 개선해야""",0
"기재부, 다음달 12.9조 규모 국고채 경쟁입찰 발행",0
"양지사, 주당 50원 결산배당",0
"정부, 9월 12.9억 규모 국고채 경쟁 입찰로 발행",0
"공매도 금지 연장, 동학개미 주도 시장 더 강화된다",0
수조달러 '유동성의 힘'…글로벌 증시 역대 최고치 찍었다,1
"풍강, 28일 배당락 발생",0
기준금리 인하에도…신용 이자율 내린 증권사 5곳뿐,0
"거래소, 포비스티앤씨에 주가급등 조회공시 요구",1
"양지사, 주당 50원 결산배당 실시",0
"파멥신 ""18만주 규모 전환청구권 행사""",0
"은성수 ""공모주 청약방식 손볼 것""",0
LG화학 목표주가 100만원 나왔다,0
"외국인, 돌아오면 '액티브'하게…""성장株 상승 이끈다""",1
증권사가 동시에 목표가 올린 '톱픽 4인방',0
